,labels,filenames
0,dog,dog.6017.jpg
1,cat,cat.4258.jpg
2,dog,dog.4157.jpg
3,cat,cat.8258.jpg
4,dog,dog.10039.jpg
5,cat,cat.4548.jpg
6,cat,cat.11414.jpg
7,cat,cat.84.jpg
8,dog,dog.5091.jpg
9,dog,dog.4744.jpg
10,dog,dog.4158.jpg
11,cat,cat.5317.jpg
12,cat,cat.6350.jpg
13,dog,dog.2929.jpg
14,cat,cat.1433.jpg
15,cat,cat.731.jpg
16,dog,dog.12477.jpg
17,dog,dog.4859.jpg
18,cat,cat.11569.jpg
19,cat,cat.8442.jpg
20,dog,dog.9331.jpg
21,dog,dog.3067.jpg
22,dog,dog.6537.jpg
23,cat,cat.2456.jpg
24,dog,dog.11429.jpg
25,cat,cat.12256.jpg
26,cat,cat.2144.jpg
27,cat,cat.3158.jpg
28,dog,dog.8492.jpg
29,cat,cat.6242.jpg
30,dog,dog.3218.jpg
31,dog,dog.23.jpg
32,dog,dog.10215.jpg
33,dog,dog.9063.jpg
34,cat,cat.9880.jpg
35,dog,dog.6224.jpg
36,cat,cat.10659.jpg
37,dog,dog.10269.jpg
38,dog,dog.6796.jpg
39,cat,cat.1046.jpg
40,cat,cat.7015.jpg
41,dog,dog.1361.jpg
42,dog,dog.3652.jpg
43,cat,cat.12169.jpg
44,cat,cat.2317.jpg
45,dog,dog.7263.jpg
46,dog,dog.11263.jpg
47,dog,dog.5022.jpg
48,dog,dog.2526.jpg
49,cat,cat.10534.jpg
50,dog,dog.6264.jpg
51,dog,dog.8453.jpg
52,dog,dog.6102.jpg
53,cat,cat.8411.jpg
54,cat,cat.2516.jpg
55,dog,dog.3351.jpg
56,dog,dog.8382.jpg
57,cat,cat.2036.jpg
58,cat,cat.2355.jpg
59,cat,cat.10893.jpg
60,dog,dog.5403.jpg
61,dog,dog.9986.jpg
62,dog,dog.5114.jpg
63,cat,cat.8967.jpg
64,cat,cat.5834.jpg
65,dog,dog.4597.jpg
66,dog,dog.11347.jpg
67,dog,dog.9769.jpg
68,dog,dog.6266.jpg
69,cat,cat.6322.jpg
70,cat,cat.6922.jpg
71,cat,cat.8443.jpg
72,cat,cat.8485.jpg
73,cat,cat.8472.jpg
74,dog,dog.12453.jpg
75,cat,cat.11647.jpg
76,dog,dog.1530.jpg
77,dog,dog.10706.jpg
78,dog,dog.8956.jpg
79,cat,cat.12311.jpg
80,dog,dog.2054.jpg
81,dog,dog.5066.jpg
82,cat,cat.822.jpg
83,cat,cat.11257.jpg
84,dog,dog.3958.jpg
85,dog,dog.8689.jpg
86,cat,cat.11384.jpg
87,dog,dog.508.jpg
88,cat,cat.9802.jpg
89,cat,cat.9748.jpg
90,dog,dog.3395.jpg
91,cat,cat.5935.jpg
92,dog,dog.8607.jpg
93,cat,cat.541.jpg
94,cat,cat.3573.jpg
95,cat,cat.477.jpg
96,cat,cat.11002.jpg
97,cat,cat.11156.jpg
98,cat,cat.11478.jpg
99,dog,dog.10292.jpg
100,dog,dog.1430.jpg
101,cat,cat.3696.jpg
102,dog,dog.7154.jpg
103,dog,dog.4396.jpg
104,cat,cat.5900.jpg
105,cat,cat.3940.jpg
106,dog,dog.11537.jpg
107,dog,dog.6260.jpg
108,cat,cat.3783.jpg
109,dog,dog.9392.jpg
110,dog,dog.7612.jpg
111,dog,dog.8305.jpg
112,dog,dog.6176.jpg
113,cat,cat.283.jpg
114,cat,cat.3847.jpg
115,dog,dog.2090.jpg
116,dog,dog.7674.jpg
117,cat,cat.827.jpg
118,dog,dog.324.jpg
119,dog,dog.6726.jpg
120,dog,dog.3343.jpg
121,cat,cat.2081.jpg
122,cat,cat.10326.jpg
123,cat,cat.4610.jpg
124,dog,dog.10977.jpg
125,cat,cat.7057.jpg
126,cat,cat.5771.jpg
127,cat,cat.10839.jpg
128,cat,cat.5908.jpg
129,dog,dog.11855.jpg
130,dog,dog.8666.jpg
131,dog,dog.12445.jpg
132,cat,cat.4425.jpg
133,cat,cat.2764.jpg
134,dog,dog.5211.jpg
135,cat,cat.7778.jpg
136,dog,dog.11508.jpg
137,cat,cat.3711.jpg
138,cat,cat.7210.jpg
139,cat,cat.308.jpg
140,cat,cat.11249.jpg
141,dog,dog.9874.jpg
142,dog,dog.4419.jpg
143,cat,cat.8756.jpg
144,cat,cat.3557.jpg
145,dog,dog.2327.jpg
146,dog,dog.2899.jpg
147,cat,cat.3582.jpg
148,cat,cat.1225.jpg
149,dog,dog.10225.jpg
150,cat,cat.11607.jpg
151,cat,cat.11463.jpg
152,dog,dog.11491.jpg
153,dog,dog.11140.jpg
154,cat,cat.5629.jpg
155,dog,dog.4500.jpg
156,cat,cat.5449.jpg
157,cat,cat.676.jpg
158,cat,cat.12016.jpg
159,dog,dog.6885.jpg
160,dog,dog.12019.jpg
161,dog,dog.4313.jpg
162,cat,cat.9312.jpg
163,cat,cat.6410.jpg
164,dog,dog.9323.jpg
165,dog,dog.11455.jpg
166,cat,cat.10217.jpg
167,cat,cat.1882.jpg
168,dog,dog.2319.jpg
169,cat,cat.10597.jpg
170,dog,dog.5301.jpg
171,cat,cat.3875.jpg
172,dog,dog.4092.jpg
173,cat,cat.11260.jpg
174,dog,dog.5561.jpg
175,dog,dog.10578.jpg
176,dog,dog.3616.jpg
177,dog,dog.6978.jpg
178,cat,cat.7524.jpg
179,cat,cat.11143.jpg
180,cat,cat.2979.jpg
181,cat,cat.6098.jpg
182,cat,cat.5578.jpg
183,cat,cat.3300.jpg
184,cat,cat.910.jpg
185,cat,cat.458.jpg
186,cat,cat.3279.jpg
187,cat,cat.10252.jpg
188,dog,dog.8825.jpg
189,dog,dog.12011.jpg
190,dog,dog.208.jpg
191,dog,dog.7054.jpg
192,dog,dog.2408.jpg
193,dog,dog.10003.jpg
194,dog,dog.11911.jpg
195,dog,dog.12210.jpg
196,dog,dog.9607.jpg
197,dog,dog.9232.jpg
198,dog,dog.775.jpg
199,cat,cat.10925.jpg
200,cat,cat.9144.jpg
201,cat,cat.293.jpg
202,cat,cat.5114.jpg
203,cat,cat.7921.jpg
204,dog,dog.11242.jpg
205,dog,dog.8778.jpg
206,dog,dog.1747.jpg
207,dog,dog.4402.jpg
208,dog,dog.5836.jpg
209,cat,cat.9313.jpg
210,dog,dog.7147.jpg
211,dog,dog.863.jpg
212,cat,cat.512.jpg
213,dog,dog.11459.jpg
214,dog,dog.6207.jpg
215,cat,cat.1011.jpg
216,cat,cat.605.jpg
217,dog,dog.6451.jpg
218,dog,dog.11301.jpg
219,cat,cat.11170.jpg
220,dog,dog.9651.jpg
221,cat,cat.7188.jpg
222,dog,dog.9900.jpg
223,dog,dog.6712.jpg
224,dog,dog.7632.jpg
225,cat,cat.9979.jpg
226,dog,dog.7787.jpg
227,dog,dog.9366.jpg
228,cat,cat.12198.jpg
229,cat,cat.7731.jpg
230,dog,dog.3635.jpg
231,cat,cat.3336.jpg
232,dog,dog.6797.jpg
233,cat,cat.8308.jpg
234,dog,dog.7065.jpg
235,cat,cat.10314.jpg
236,dog,dog.6630.jpg
237,dog,dog.9878.jpg
238,dog,dog.4097.jpg
239,cat,cat.438.jpg
240,dog,dog.6037.jpg
241,dog,dog.10207.jpg
242,cat,cat.3669.jpg
243,dog,dog.2226.jpg
244,cat,cat.6307.jpg
245,dog,dog.2724.jpg
246,dog,dog.10446.jpg
247,cat,cat.555.jpg
248,dog,dog.8601.jpg
249,cat,cat.3682.jpg
250,dog,dog.4028.jpg
251,dog,dog.11116.jpg
252,dog,dog.6072.jpg
253,dog,dog.4861.jpg
254,cat,cat.9723.jpg
255,cat,cat.7438.jpg
256,dog,dog.5357.jpg
257,dog,dog.5003.jpg
258,cat,cat.12064.jpg
259,cat,cat.3153.jpg
260,cat,cat.10870.jpg
261,dog,dog.9745.jpg
262,dog,dog.6013.jpg
263,cat,cat.12248.jpg
264,dog,dog.5373.jpg
265,cat,cat.4874.jpg
266,cat,cat.5383.jpg
267,cat,cat.5802.jpg
268,dog,dog.11853.jpg
269,cat,cat.3532.jpg
270,cat,cat.9262.jpg
271,dog,dog.11866.jpg
272,dog,dog.7071.jpg
273,cat,cat.1480.jpg
274,cat,cat.9079.jpg
275,dog,dog.8430.jpg
276,cat,cat.1142.jpg
277,dog,dog.288.jpg
278,dog,dog.2931.jpg
279,dog,dog.6251.jpg
280,cat,cat.5750.jpg
281,cat,cat.12438.jpg
282,dog,dog.11081.jpg
283,dog,dog.8568.jpg
284,dog,dog.9389.jpg
285,cat,cat.9472.jpg
286,dog,dog.9383.jpg
287,dog,dog.4220.jpg
288,dog,dog.9619.jpg
289,cat,cat.8233.jpg
290,cat,cat.3672.jpg
291,cat,cat.10584.jpg
292,dog,dog.7580.jpg
293,cat,cat.10981.jpg
294,dog,dog.1255.jpg
295,dog,dog.11531.jpg
296,cat,cat.6693.jpg
297,cat,cat.11822.jpg
298,cat,cat.1571.jpg
299,cat,cat.8632.jpg
300,dog,dog.5635.jpg
301,dog,dog.8193.jpg
302,cat,cat.6052.jpg
303,cat,cat.10368.jpg
304,dog,dog.12102.jpg
305,dog,dog.11332.jpg
306,cat,cat.7496.jpg
307,dog,dog.6607.jpg
308,dog,dog.8500.jpg
309,cat,cat.3474.jpg
310,cat,cat.5245.jpg
311,cat,cat.10565.jpg
312,dog,dog.12289.jpg
313,dog,dog.3077.jpg
314,dog,dog.12120.jpg
315,cat,cat.9249.jpg
316,dog,dog.1617.jpg
317,cat,cat.5731.jpg
318,cat,cat.9423.jpg
319,cat,cat.9887.jpg
320,cat,cat.11767.jpg
321,dog,dog.37.jpg
322,dog,dog.322.jpg
323,dog,dog.5519.jpg
324,dog,dog.12003.jpg
325,cat,cat.9872.jpg
326,dog,dog.8608.jpg
327,cat,cat.6146.jpg
328,cat,cat.10725.jpg
329,dog,dog.8615.jpg
330,dog,dog.7062.jpg
331,dog,dog.6069.jpg
332,cat,cat.12294.jpg
333,cat,cat.6222.jpg
334,cat,cat.4774.jpg
335,dog,dog.10707.jpg
336,dog,dog.7934.jpg
337,cat,cat.7313.jpg
338,dog,dog.1443.jpg
339,cat,cat.8604.jpg
340,cat,cat.4588.jpg
341,dog,dog.12099.jpg
342,dog,dog.4701.jpg
343,dog,dog.9384.jpg
344,dog,dog.3066.jpg
345,cat,cat.11991.jpg
346,dog,dog.7760.jpg
347,dog,dog.753.jpg
348,cat,cat.5584.jpg
349,dog,dog.7838.jpg
350,dog,dog.1978.jpg
351,dog,dog.5453.jpg
352,cat,cat.5929.jpg
353,cat,cat.9396.jpg
354,dog,dog.1999.jpg
355,cat,cat.10586.jpg
356,cat,cat.5432.jpg
357,dog,dog.3210.jpg
358,cat,cat.8142.jpg
359,dog,dog.1043.jpg
360,cat,cat.10032.jpg
361,dog,dog.2665.jpg
362,dog,dog.555.jpg
363,cat,cat.4202.jpg
